label,category,start_s,end_s,duration_s,session_num
idle,adl,0.0,1.258,1.258,4
idle_standing,adl,1.258,3.062,1.804,4
walking,adl,3.062,7.629,4.566,4
idle_standing,adl,7.629,9.056,1.427,4
fall_forward,fall,9.056,14.873,5.817,4
standing_up,adl,14.873,20.848,5.975,4
fall_forward,fall,20.848,25.567,4.719,4
standing_up,adl,25.567,31.504,5.937,4
fall_forward,fall,31.504,35.936,4.432,4
standing_up,adl,35.936,43.497,7.561,4
fall_forward,fall,43.497,48.056,4.559,4
standing_up,adl,48.056,52.871,4.814,4
idle_standing,adl,52.871,61.422,8.551,4
fall_lateral_left,fall,61.422,65.72,4.298,4
standing_up,adl,65.72,72.62,6.9,4
fall_lateral_left,fall,72.62,77.291,4.672,4
standing_up,adl,77.291,83.806,6.515,4
fall_lateral_left,fall,83.806,88.297,4.491,4
standing_up,adl,88.297,93.835,5.538,4
fall_lateral_left,fall,93.835,99.958,6.124,4
standing_up,adl,99.958,104.209,4.25,4
idle_standing,adl,104.209,108.309,4.1,4
fall_lateral_right,fall,108.309,112.973,4.664,4
standing_up,adl,112.973,119.241,6.268,4
fall_lateral_right,fall,119.241,123.847,4.605,4
standing_up,adl,123.847,130.168,6.321,4
fall_lateral_right,fall,130.168,135.487,5.32,4
standing_up,adl,135.487,140.971,5.484,4
fall_lateral_right,fall,140.971,146.198,5.227,4
standing_up,adl,146.198,150.458,4.26,4
idle_standing,adl,150.458,164.814,14.355,4
bending,adl,164.814,169.357,4.544,4
idle_standing,adl,169.357,176.162,6.804,4
fall_backward,fall,176.162,181.419,5.257,4
standing_up,adl,181.419,187.363,5.944,4
fall_backward,fall,187.363,191.94,4.577,4
standing_up,adl,191.94,197.891,5.951,4
fall_backward,fall,197.891,202.394,4.503,4
standing_up,adl,202.394,208.916,6.522,4
fall_backward,fall,208.916,213.986,5.07,4
standing_up,adl,213.986,219.568,5.582,4
idle_standing,adl,219.568,225.597,6.03,4
fall_sitting,fall,225.597,231.552,5.954,4
standing_up,adl,231.552,237.496,5.945,4
fall_sitting,fall,237.496,243.612,6.116,4
standing_up,adl,243.612,249.577,5.966,4
fall_sitting,fall,249.577,254.901,5.324,4
standing_up,adl,254.901,260.599,5.698,4
fall_sitting,fall,260.599,265.688,5.089,4
standing_up,adl,265.688,270.215,4.527,4
idle_standing,adl,270.215,272.323,2.108,4
