label,category,start_s,end_s,duration_s,session_num
idle,adl,0.0,0.987,0.987,3
idle_standing,adl,0.987,3.382,2.396,3
walking,adl,3.382,7.783,4.4,3
idle_standing,adl,7.783,11.416,3.634,3
fall_forward,fall,11.416,16.189,4.773,3
standing_up,adl,16.189,20.811,4.622,3
idle_standing,adl,20.811,22.519,1.708,3
fall_forward,fall,22.519,26.223,3.705,3
standing_up,adl,26.223,29.899,3.675,3
fall_forward,fall,29.899,34.663,4.764,3
standing_up,adl,34.663,39.77,5.107,3
fall_forward,fall,39.77,43.919,4.148,3
standing_up,adl,43.919,47.835,3.916,3
idle_standing,adl,47.835,89.24,41.406,3
fall_lateral_left,fall,89.24,92.938,3.697,3
standing_up,adl,92.938,97.089,4.151,3
fall_lateral_left,fall,97.089,101.132,4.043,3
standing_up,adl,101.132,107.615,6.484,3
fall_lateral_left,fall,107.615,111.675,4.06,3
standing_up,adl,111.675,117.776,6.101,3
fall_lateral_left,fall,117.776,124.128,6.351,3
standing_up,adl,124.128,127.686,3.558,3
idle_standing,adl,127.686,154.515,26.829,3
fall_lateral_right,fall,154.515,157.969,3.454,3
standing_up,adl,157.969,162.621,4.653,3
fall_lateral_right,fall,162.621,167.483,4.861,3
standing_up,adl,167.483,172.312,4.829,3
fall_lateral_right,fall,172.312,177.285,4.973,3
standing_up,adl,177.285,181.251,3.966,3
fall_lateral_right,fall,181.251,186.211,4.96,3
standing_up,adl,186.211,190.364,4.153,3
idle_standing,adl,190.364,216.907,26.543,3
fall_backward,fall,216.907,221.231,4.324,3
standing_up,adl,221.231,225.727,4.496,3
fall_backward,fall,225.727,229.701,3.974,3
standing_up,adl,229.701,235.64,5.939,3
fall_backward,fall,235.64,240.063,4.423,3
standing_up,adl,240.063,243.905,3.842,3
fall_backward,fall,243.905,250.369,6.463,3
standing_up,adl,250.369,256.563,6.194,3
idle_standing,adl,256.563,290.268,33.706,3
fall_sitting,fall,290.268,296.746,6.478,3
standing_up,adl,296.746,302.195,5.449,3
idle_standing,adl,302.195,303.712,1.518,3
fall_sitting,fall,303.712,305.138,1.425,3
idle_standing,adl,305.138,311.009,5.871,3
fall_sitting,fall,311.009,315.533,4.525,3
standing_up,adl,315.533,320.705,5.171,3
fall_sitting,fall,320.705,325.422,4.717,3
standing_up,adl,325.422,329.551,4.129,3
fall_sitting,fall,329.551,337.971,8.421,3
standing_up,adl,337.971,343.37,5.398,3
