label,category,start_s,end_s,duration_s,session_num
idle,adl,0.0,1.36,1.36,7
idle_standing,adl,1.36,2.542,1.182,7
walking,adl,2.542,57.705,55.163,7
idle_standing,adl,57.705,62.329,4.624,7
stairs_up,adl,62.329,79.61,17.281,7
stairs_down,adl,79.61,95.519,15.909,7
idle_standing,adl,95.519,109.45,13.93,7
stairs_up,adl,109.45,129.235,19.786,7
stairs_down,adl,129.235,146.043,16.808,7
idle_standing,adl,146.043,154.236,8.193,7
stairs_up,adl,154.236,171.364,17.128,7
stairs_down,adl,171.364,188.888,17.525,7
stairs_up,adl,188.888,191.573,2.685,7
idle_standing,adl,191.573,191.952,0.378,7
stairs_up,adl,191.952,209.546,17.594,7
stairs_down,adl,209.546,225.252,15.706,7
idle_standing,adl,225.252,232.716,7.464,7
walking,adl,232.716,251.703,18.987,7
idle_standing,adl,251.703,290.59,38.887,7
sitting_slow,adl,290.59,294.791,4.201,7
standing_up,adl,294.791,298.324,3.532,7
sitting_slow,adl,298.324,301.546,3.222,7
standing_up,adl,301.546,305.418,3.872,7
sitting_slow,adl,305.418,309.103,3.685,7
standing_up,adl,309.103,311.625,2.521,7
sitting_slow,adl,311.625,314.917,3.292,7
standing_up,adl,314.917,320.173,5.256,7
sitting_fast,adl,320.173,324.52,4.346,7
standing_up,adl,324.52,326.677,2.157,7
sitting_fast,adl,326.677,329.72,3.043,7
standing_up,adl,329.72,331.936,2.216,7
sitting_fast,adl,331.936,335.317,3.381,7
standing_up,adl,335.317,337.129,1.812,7
sitting_fast,adl,337.129,340.174,3.045,7
standing_up,adl,340.174,342.104,1.93,7
idle_standing,adl,342.104,352.279,10.174,7
sitting_fast,adl,352.279,359.583,7.304,7
standing_up,adl,359.583,361.836,2.253,7
sitting_fast,adl,361.836,364.88,3.044,7
standing_up,adl,364.88,367.648,2.768,7
idle_standing,adl,367.648,368.55,0.903,7
walking,adl,368.55,371.072,2.522,7
idle_standing,adl,371.072,378.258,7.186,7
running,adl,378.258,409.261,31.003,7
idle_standing,adl,409.261,411.067,1.806,7
running,adl,411.067,439.118,28.051,7
idle_standing,adl,439.118,449.134,10.016,7
bending,adl,449.134,456.134,6.999,7
idle_standing,adl,456.134,463.302,7.169,7
bending,adl,463.302,468.203,4.901,7
idle_standing,adl,468.203,468.657,0.454,7
bending,adl,468.657,471.385,2.728,7
idle_standing,adl,471.385,472.258,0.874,7
bending,adl,472.258,475.188,2.93,7
idle_standing,adl,475.188,476.233,1.044,7
bending,adl,476.233,479.559,3.326,7
idle_standing,adl,479.559,480.855,1.296,7
