label,category,start_s,end_s,duration_s,session_num
idle,adl,0.0,4.663,4.663,1
idle_standing,adl,4.663,8.601,3.937,1
walking,adl,8.601,27.807,19.206,1
idle_standing,adl,27.807,34.157,6.35,1
sitting_slow,adl,34.157,39.19,5.033,1
standing_up,adl,39.19,42.304,3.114,1
sitting_fast,adl,42.304,46.77,4.465,1
standing_up,adl,46.77,49.474,2.704,1
walking,adl,49.474,71.354,21.88,1
stairs_up,adl,71.354,86.565,15.211,1
stairs_down,adl,86.565,98.624,12.059,1
stairs_up,adl,98.624,111.352,12.728,1
stairs_down,adl,111.352,120.232,8.88,1
idle_standing,adl,120.232,132.894,12.662,1
running,adl,132.894,158.452,25.557,1
idle_standing,adl,158.452,161.732,3.28,1
jumping,adl,161.732,169.637,7.906,1
idle_standing,adl,169.637,173.843,4.206,1
walking,adl,173.843,185.83,11.986,1
idle_standing,adl,185.83,187.068,1.238,1
sitting_slow,adl,187.068,191.025,3.958,1
standing_up,adl,191.025,193.824,2.799,1
idle_standing,adl,193.824,196.252,2.427,1
sitting_fast,adl,196.252,200.535,4.283,1
standing_up,adl,200.535,202.665,2.13,1
idle_standing,adl,202.665,206.972,4.307,1
walking,adl,206.972,207.484,0.512,1
idle_standing,adl,207.484,211.447,3.962,1
bending,adl,211.447,228.755,17.308,1
idle_standing,adl,228.755,265.762,37.007,1
lying_down,adl,265.762,281.611,15.849,1
standing_up,adl,281.611,282.814,1.203,1
idle_standing,adl,282.814,305.815,23.001,1
walking,adl,305.815,306.631,0.815,1
idle_standing,adl,306.631,307.384,0.754,1
walking,adl,307.384,309.941,2.557,1
idle_standing,adl,309.941,310.306,0.365,1
walking,adl,310.306,321.01,10.704,1
stairs_up,adl,321.01,321.513,0.502,1
stairs_down,adl,321.513,322.628,1.116,1
idle_standing,adl,322.628,323.385,0.757,1
stairs_down,adl,323.385,325.411,2.025,1
idle_standing,adl,325.411,342.678,17.267,1
