label,category,start_s,end_s,duration_s,session_num
idle,adl,0.0,1.199,1.199,5
idle_standing,adl,1.199,2.869,1.67,5
walking,adl,2.869,6.869,4.0,5
idle_standing,adl,6.869,9.752,2.884,5
fall_forward,fall,9.752,13.513,3.761,5
standing_up,adl,13.513,19.235,5.721,5
fall_forward,fall,19.235,22.632,3.397,5
idle_standing,adl,22.632,27.98,5.349,5
fall_forward,fall,27.98,31.264,3.284,5
standing_up,adl,31.264,36.265,5.0,5
fall_forward,fall,36.265,41.282,5.017,5
standing_up,adl,41.282,46.229,4.947,5
fall_forward,fall,46.229,51.039,4.81,5
standing_up,adl,51.039,54.894,3.855,5
idle_standing,adl,54.894,62.169,7.275,5
fall_lateral_left,fall,62.169,65.795,3.626,5
standing_up,adl,65.795,70.174,4.379,5
fall_lateral_left,fall,70.174,74.598,4.424,5
standing_up,adl,74.598,78.957,4.359,5
fall_lateral_left,fall,78.957,83.872,4.916,5
standing_up,adl,83.872,89.139,5.267,5
fall_lateral_left,fall,89.139,91.833,2.694,5
idle_standing,adl,91.833,92.103,0.27,5
idle_standing,adl,92.103,106.263,14.16,5
fall_lateral_left,fall,106.263,111.595,5.332,5
standing_up,adl,111.595,117.088,5.493,5
fall_lateral_right,fall,117.088,119.375,2.288,5
sitting_slow,adl,119.375,119.814,0.438,5
idle_standing,adl,119.814,122.687,2.874,5
fall_lateral_right,fall,122.687,126.58,3.893,5
standing_up,adl,126.58,131.203,4.623,5
fall_lateral_right,fall,131.203,134.746,3.543,5
standing_up,adl,134.746,140.156,5.41,5
idle_standing,adl,140.156,170.709,30.554,5
fall_lateral_right,fall,170.709,173.962,3.252,5
standing_up,adl,173.962,179.132,5.17,5
fall_lateral_right,fall,179.132,183.203,4.071,5
standing_up,adl,183.203,188.308,5.105,5
fall_lateral_right,fall,188.308,192.616,4.308,5
standing_up,adl,192.616,197.777,5.161,5
idle_standing,adl,197.777,201.021,3.244,5
fall_backward,fall,201.021,204.81,3.789,5
standing_up,adl,204.81,205.969,1.159,5
idle_standing,adl,205.969,211.427,5.458,5
standing_up,adl,211.427,215.19,3.763,5
fall_backward,fall,215.19,221.473,6.283,5
standing_up,adl,221.473,231.078,9.605,5
idle_standing,adl,231.078,235.274,4.196,5
fall_backward,fall,235.274,239.461,4.187,5
standing_up,adl,239.461,243.719,4.258,5
fall_backward,fall,243.719,247.94,4.22,5
standing_up,adl,247.94,253.397,5.457,5
idle_standing,adl,253.397,261.449,8.052,5
fall_sitting,fall,261.449,267.159,5.71,5
standing_up,adl,267.159,270.742,3.583,5
standing_up,adl,270.742,272.096,1.353,5
fall_sitting,fall,272.096,278.207,6.112,5
standing_up,adl,278.207,284.276,6.068,5
fall_sitting,fall,284.276,290.463,6.188,5
standing_up,adl,290.463,295.32,4.856,5
fall_sitting,fall,295.32,301.168,5.848,5
standing_up,adl,301.168,305.837,4.669,5
fall_sitting,fall,305.837,310.627,4.79,5
standing_up,adl,310.627,316.409,5.783,5
idle_standing,adl,316.409,317.308,0.899,5
