label,category,start_s,end_s,duration_s,session_num
idle,adl,0.0,0.896,0.896,9
walking,adl,0.896,4.411,3.515,9
idle_standing,adl,4.411,8.066,3.655,9
stairs_up,adl,8.066,23.764,15.699,9
stairs_down,adl,23.764,36.809,13.044,9
idle_standing,adl,36.809,38.773,1.964,9
stairs_up,adl,38.773,53.008,14.235,9
stairs_down,adl,53.008,64.67,11.662,9
idle_standing,adl,64.67,75.108,10.438,9
stairs_up,adl,75.108,86.699,11.591,9
stairs_down,adl,86.699,93.77,7.071,9
idle_standing,adl,93.77,95.594,1.825,9
stairs_up,adl,95.594,110.278,14.683,9
stairs_down,adl,110.278,118.062,7.784,9
idle_standing,adl,118.062,120.756,2.693,9
walking,adl,120.756,121.563,0.808,9
idle_standing,adl,121.563,138.749,17.185,9
jumping,adl,138.749,152.933,14.185,9
idle_standing,adl,152.933,159.226,6.293,9
walking,adl,159.226,163.319,4.092,9
idle_standing,adl,163.319,163.751,0.433,9
walking,adl,163.751,175.343,11.592,9
idle_standing,adl,175.343,179.409,4.066,9
bending,adl,179.409,185.272,5.863,9
idle_standing,adl,185.272,186.48,1.208,9
bending,adl,186.48,190.957,4.477,9
idle_standing,adl,190.957,191.928,0.971,9
bending,adl,191.928,194.575,2.647,9
idle_standing,adl,194.575,196.632,2.056,9
bending,adl,196.632,202.425,5.794,9
idle_standing,adl,202.425,203.661,1.235,9
bending,adl,203.661,208.881,5.221,9
idle_standing,adl,208.881,214.186,5.305,9
walking,adl,214.186,216.662,2.476,9
idle_standing,adl,216.662,237.508,20.846,9
sitting_slow,adl,237.508,241.931,4.423,9
standing_up,adl,241.931,247.496,5.565,9
sitting_slow,adl,247.496,254.724,7.228,9
standing_up,adl,254.724,256.15,1.427,9
idle_standing,adl,256.15,257.765,1.615,9
sitting_slow,adl,257.765,260.956,3.191,9
standing_up,adl,260.956,263.086,2.131,9
idle_standing,adl,263.086,266.819,3.733,9
sitting_slow,adl,266.819,270.892,4.073,9
standing_up,adl,270.892,273.958,3.065,9
idle_standing,adl,273.958,275.392,1.434,9
sitting_slow,adl,275.392,278.866,3.474,9
standing_up,adl,278.866,281.234,2.369,9
idle_standing,adl,281.234,285.245,4.01,9
sitting_fast,adl,285.245,288.398,3.153,9
standing_up,adl,288.398,290.258,1.861,9
idle_standing,adl,290.258,291.502,1.243,9
sitting_fast,adl,291.502,294.506,3.004,9
standing_up,adl,294.506,295.845,1.339,9
idle_standing,adl,295.845,297.461,1.616,9
sitting_fast,adl,297.461,299.679,2.217,9
standing_up,adl,299.679,300.756,1.077,9
idle_standing,adl,300.756,302.103,1.347,9
sitting_fast,adl,302.103,305.077,2.974,9
standing_up,adl,305.077,307.596,2.519,9
idle_standing,adl,307.596,327.843,20.247,9
running,adl,327.843,388.558,60.715,9
idle_standing,adl,388.558,396.183,7.625,9
running,adl,396.183,402.885,6.702,9
idle_standing,adl,402.885,404.503,1.618,9
running,adl,404.503,414.152,9.649,9
idle_standing,adl,414.152,416.349,2.197,9
