label,category,start_s,end_s,duration_s,session_num
idle,adl,0.0,0.939,0.939,2
idle_standing,adl,0.939,4.588,3.649,2
walking,adl,4.588,8.28,3.691,2
idle_standing,adl,8.28,11.253,2.973,2
fall_forward,fall,11.253,15.999,4.746,2
standing_up,adl,15.999,21.788,5.789,2
fall_forward,fall,21.788,25.837,4.05,2
standing_up,adl,25.837,32.094,6.256,2
fall_forward,fall,32.094,37.832,5.738,2
standing_up,adl,37.832,43.123,5.291,2
fall_forward,fall,43.123,48.518,5.395,2
standing_up,adl,48.518,55.671,7.153,2
idle_standing,adl,55.671,60.058,4.388,2
fall_lateral_right,fall,60.058,66.204,6.146,2
standing_up,adl,66.204,71.357,5.153,2
fall_lateral_right,fall,71.357,76.687,5.33,2
standing_up,adl,76.687,82.007,5.32,2
fall_lateral_right,fall,82.007,88.606,6.6,2
standing_up,adl,88.606,95.056,6.45,2
fall_lateral_right,fall,95.056,102.323,7.267,2
standing_up,adl,102.323,111.643,9.32,2
idle_standing,adl,111.643,116.508,4.865,2
fall_lateral_left,fall,116.508,118.214,1.706,2
idle_standing,adl,118.214,119.391,1.178,2
fall_lateral_left,fall,119.391,125.703,6.311,2
standing_up,adl,125.703,132.072,6.369,2
fall_lateral_left,fall,132.072,136.378,4.307,2
standing_up,adl,136.378,142.247,5.869,2
fall_lateral_left,fall,142.247,147.834,5.586,2
standing_up,adl,147.834,152.911,5.078,2
idle_standing,adl,152.911,158.945,6.033,2
fall_lateral_left,fall,158.945,164.136,5.191,2
standing_up,adl,164.136,169.815,5.679,2
idle_standing,adl,169.815,181.107,11.292,2
fall_backward,fall,181.107,184.438,3.331,2
idle_standing,adl,184.438,184.953,0.515,2
fall_backward,fall,184.953,187.747,2.794,2
standing_up,adl,187.747,197.464,9.717,2
fall_backward,fall,197.464,204.29,6.826,2
standing_up,adl,204.29,207.797,3.507,2
fall_backward,fall,207.797,220.053,12.256,2
standing_up,adl,220.053,224.191,4.139,2
fall_backward,fall,224.191,231.339,7.147,2
standing_up,adl,231.339,235.682,4.343,2
idle_standing,adl,235.682,236.517,0.835,2
